time_sec,n1,n2,n3
330.469,0.650,-0.810,0.150
331.250,-0.260,-1.030,0.110
332.031,-1.110,-0.650,0.090
332.812,-1.360,0.170,0.030
333.594,-0.680,0.640,-0.290
334.375,-0.290,1.030,-0.350
335.156,0.410,1.350,-0.010
335.938,1.200,0.790,0.040
336.719,1.150,0.120,-0.030
337.500,0.690,-0.470,0.560
338.281,0.020,-0.650,0.890
339.062,-0.170,-0.390,0.650
339.844,-0.220,-0.390,0.480
340.625,-0.240,-0.550,0.020
341.406,-0.550,-0.520,-0.370
342.188,-1.270,-0.020,-0.440
342.969,-1.310,0.950,-0.440
343.750,0.120,1.140,-0.490
344.531,0.700,0.350,-0.740
345.312,0.280,0.080,-0.620
346.094,0.610,0.040,0.060
346.875,0.950,-0.200,0.630
347.656,0.940,-0.470,0.770
348.438,0.640,-0.630,0.690
349.219,-0.130,-0.780,0.410
350.000,-0.850,-0.410,0.390
350.781,-0.410,-0.150,0.360
351.562,-0.400,-0.320,0.180
352.344,-0.750,-0.080,0.190
353.125,-0.370,0.460,-0.170
353.906,0.040,0.600,-0.840
354.688,-0.310,0.670,-0.870
355.469,0.130,0.770,-0.320
356.250,0.650,0.500,0.000
357.031,0.940,-0.090,0.000
357.812,0.330,-0.570,-0.230
358.594,-0.490,-0.350,0.110
359.375,-0.570,0.000,0.410
360.156,-0.480,0.580,-0.060
360.938,0.290,0.470,-0.440
361.719,0.170,0.040,-0.230
362.500,0.290,-0.200,-0.180
363.281,0.210,-0.390,-0.220
364.062,0.010,-0.370,-0.150
364.844,-0.580,0.150,-0.270
365.625,-0.100,0.720,-0.250
366.406,0.780,0.120,0.130
367.188,0.310,-0.590,0.440
367.969,-0.210,-0.620,0.420
368.750,-0.030,-0.620,0.560
369.531,0.030,-0.940,0.450
370.312,-0.110,-0.930,0.370
371.094,-0.200,-0.660,0.260
371.875,-0.340,-0.240,0.090
372.656,-0.020,0.050,0.100
373.438,-0.280,0.350,0.070
374.219,-0.520,0.980,-0.080
375.000,-0.540,1.550,0.060
375.781,0.410,1.280,0.180
376.562,0.740,0.390,0.160
377.344,0.570,-0.050,0.020
378.125,0.140,-0.020,-0.340
378.906,-0.030,0.170,0.060
379.688,0.540,0.070,0.090
